"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"104","Halomonas sp.",0.000673031898338782,4e-06,0.006904,0.00085457367032396,0.000398,7.30296158010964e-07,450,0.00152760556866274
"105","Hyalangium sp.",0.00198106700712202,1.7e-05,0.013055,0.00156349539342455,0.001577,2.44451784525978e-06,459,0.00354456240054657
"106","Hymenobacter sp.",0.00234629278722078,4e-06,0.034572,0.00297108641806432,0.001512,8.82735450360625e-06,458,0.0053173792052851
"107","Hyphomicrobium sp.",0.00146087960917899,1.05253186540222e-05,0.007505,0.00111699628744255,0.001185,1.24768070616043e-06,459,0.00257787589662154
"108","Iamia sp.",0.00499279444314715,5e-05,0.013663,0.00256494001695985,0.004527,6.57891729060201e-06,459,0.007557734460107
"109","Ilumatobacter sp.",0.000873733670277014,1.2e-05,0.004792,0.000683938654074303,0.000699,4.6777208253697e-07,450,0.00155767232435132
"110","Isosphaera sp.",0.00078165239744223,1e-05,0.006736,0.000803332104460102,0.000553,6.45342470056297e-07,454,0.00158498450190233
"111","Kaistobacter sp.",0.00677980747525298,4.2101274616089e-05,0.042509,0.00596161919720693,0.005159,3.55409034525062e-05,459,0.0127414266724599
"112","Koribacter sp.",0.00627005078139207,2.97327030000297e-05,0.111224,0.0103602328691633,0.002697,0.000107334425103292,459,0.0166302836505554
"113","Kribbella sp.",0.00148698725385221,8e-06,0.007034,0.00116174712798819,0.001228,1.34965638938881e-06,457,0.0026487343818404
"114","Labrys sp.",0.00063429203539823,1.2e-05,0.004331,0.000460641313897768,0.0005545,2.12190420069462e-07,452,0.001094933349296
"115","Legionella sp.",0.00130246170678337,0.000113,0.007022,0.00102237923361357,0.001001,1.04525929732427e-06,457,0.00232484094039694
"116","Leptolinea sp.",0.000752952808988764,1.1e-05,0.004902,0.000779069250077708,0.000502,6.06948896416642e-07,445,0.00153202205906647
"117","Leptospirillum sp.",0.00119104814004376,1.8e-05,0.006532,0.000818754757507162,0.00102,6.70359352940612e-07,457,0.00200980289755093
"118","Longilinea sp.",0.00164194922737307,2.4e-05,0.007608,0.00134308175858668,0.001292,1.80386861024829e-06,453,0.00298503098595975
"119","Luteolibacter sp.",0.000995442437923251,5e-06,0.013591,0.00136799734169432,0.000507,1.87141672688273e-06,443,0.00236343977961757
"120","Lysobacter sp.",0.00243128446389497,6.4e-05,0.037501,0.00359766986085088,0.001374,1.29432284276748e-05,457,0.00602895432474585
"121","Marinicella sp.",0.000778849015317287,4.9e-05,0.004396,0.000595578181011942,0.000638,3.54713369697493e-07,457,0.00137442719632923
"122","Marmoricola sp.",0.0021671750547046,3.1e-05,0.008813,0.00152444393514288,0.001752,2.32392931139391e-06,457,0.00369161898984748
"123","Massilia sp.",0.0115312625820569,0.000475,0.099256,0.00933274703482245,0.009195,8.71001672159872e-05,457,0.0208640096168793
"124","Mesorhizobium sp.",0.00213013377192982,2.5e-05,0.012469,0.00161841452794503,0.0017895,2.61926558426354e-06,456,0.00374854829987486
"125","Methylacidiphilum sp.",0.00193636980306346,2.8e-05,0.005523,0.00108940262330559,0.001823,1.18679807566509e-06,457,0.00302577242636904
"126","Methylobacterium sp.",0.00184293201754386,7e-06,0.013833,0.00202619909791195,0.0011155,4.10548278437922e-06,456,0.00386913111545581
"127","Methylocella sp.",0.000843717488789238,4e-06,0.010863,0.000841300216830783,0.0006845,7.07786054839522e-07,446,0.00168501770562002
"128","Methylotenera sp.",0.00249292341356674,6.9e-05,0.032823,0.00305098148082132,0.001699,9.30848799631463e-06,457,0.00554390489438806
"129","Micromonospora sp.",0.000793660753880266,1.8e-05,0.007154,0.000928985089098544,0.000511,8.6301329576743e-07,451,0.00172264584297881
"130","Microthrix sp.",0.00168036542669584,6e-06,0.004534,0.000942103159944549,0.00154,8.87558363977504e-07,457,0.00262246858664039
"131","Microvirga sp.",0.00766094967177243,2.5e-05,0.062275,0.00933441982027986,0.004179,8.71313933812334e-05,457,0.0169953694920523
"132","Modestobacter sp.",0.00179327333333333,8e-06,0.013637,0.00219141066697094,0.000891,4.80228071131403e-06,450,0.00398468400030428
"133","Mycobacterium sp.",0.00475749015317287,0.000317,0.129062,0.00716991461848856,0.003687,5.1407675636416e-05,457,0.0119274047716614
"134","Myxococcus sp.",0.000518112107623318,1.2e-05,0.002978,0.000355157557676061,0.0004405,1.26136890774424e-07,446,0.000873269665299379
"135","Nakamurella sp.",0.00135706373626374,6e-06,0.007808,0.00131371496243922,0.000808,1.72584700253667e-06,455,0.00267077869870295
"136","Niastella sp.",0.000968077777777778,2.5e-05,0.012144,0.00107245733508856,0.0006615,1.15016473558525e-06,450,0.00204053511286634
"137","Nitratireductor sp.",0.000556051685393258,9e-06,0.005535,0.000558305390879191,0.000407,3.11704909484766e-07,445,0.00111435707627245
"138","Nitrosococcus sp.",0.0164281050328228,0.00128,0.065238,0.00941251953388603,0.014209,8.8595523975786e-05,457,0.0258406245667088
"139","Nitrosomonas sp.",0.000710636771300448,8e-06,0.007108,0.00069440572791376,0.000562,4.82199314959439e-07,446,0.00140504249921421
"140","Nitrososphaera sp.",0.0478374135667396,0.000616,0.181812,0.0480750378761297,0.032779,0.00231120926679131,457,0.0959124514428693
"141","Nitrospira sp.",0.00603684463894967,0.000348,0.031079,0.00539063190441345,0.004443,2.90589123288802e-05,457,0.0114274765433631
"142","Nocardia sp.",0.000518876957494407,7e-06,0.00521,0.000577063869118353,0.000365,3.33002709041843e-07,447,0.00109594082661276
"143","Nocardioides sp.",0.0111193107221007,8.3e-05,0.072412,0.00779625969501962,0.009018,6.07816652321874e-05,457,0.0189155704171203
"144","Nordella sp.",0.00369508971553611,6e-06,0.015561,0.00276689493033797,0.003119,7.65570755552996e-06,457,0.00646198464587408
