"c_muestra_wineseq","max_PER"
"A24A17",0.085199
"A5600B",0.085487
"A22A01",0.085555
"A06A03",0.085579
"A3P00B",0.086037
"A3E002",0.086957
"A09A0P",0.087318
"WWW03J",0.087511
"A02039",0.0877
"A04A03",0.088163
"A22A02",0.088365
"A02127",0.088383
"A5601A",0.0883923449199041
"A03A02",0.088743
"A0213M",0.088921
"A17A03",0.088964
"A47001",0.089081
"A3E000",0.091283
"A17A09",0.091287
"P0100N",0.09167
"A0213S",0.091906
"A3Q00P",0.092879
"A09A09",0.093247
"A24A29",0.09355
"A24A1L",0.093554
"APR001",0.094099
"A33A29",0.094159
"A3S003",0.094345
"A04A09",0.094594
"A02066",0.095245
"E18000",0.095253
"E14003",0.095347
"A06A0D",0.095791
"A06A0B",0.095851
"A24A1S",0.095936
"A17A0D",0.095939
"A24A1I",0.096081
"A11A0C",0.096101
"A07A0H",0.097531
"A18A01",0.097946
"A56009",0.098255
"A3B000",0.098304
"000A01",0.098455
"000C09",0.098455
"A02128",0.098455
"A24A2I",0.098495
"A37002",0.098708
"A3U00E",0.098715
"A02148",0.099256
"A3D006",0.099356
"A02124",0.099878
"E14002",0.100623
"A09A0S",0.101004
"WWW017",0.10141
"WWW02R",0.101483
"A24A1H",0.101684
"A3Y003",0.101761
"A09A0I",0.101863
"A5H000",0.102198
"A17A0H",0.102971
"WWW03M",0.103121
"A25A0P",0.103515
"A3D007",0.103769
"A3Q00O",0.103998
"A16A04",0.10415
"APG013",0.104275904433865
"A02065",0.105336
"A5D000",0.105401
"APG00F",0.105529263058879
"A22A03",0.105587
"A24A1J",0.106089
"A3D001",0.106354
"A02049",0.106458
"A5600P",0.106803715682365
"A5C000",0.107185
"A31A00",0.107259
"A24A1P",0.107717
"APG00K",0.107800878972279
"A17A0N",0.107931
"A24A1O",0.108451
"A3Q008",0.108527
"A37003",0.109546
"A5B000",0.109773
"A18A02",0.109937
"A18A03",0.111224
"A24A1K",0.112003
"A3U003",0.112065
"A09A0Q",0.112166
"A27A00",0.113139
"A0213N",0.113278
"A06A0T",0.113348
"A3G003",0.113477
"BMK03I",0.113663
"A17A06",0.113672
"BMK03U",0.113714
"A3G001",0.11406
"A22A04",0.114088
"A19A03",0.114183
"A3D004",0.114394
"A3U005",0.114498
"A02023",0.114656
"A3T000",0.114826
"A17A0M",0.114987
"A14A02",0.115053
"E08004",0.115171
"A09A0L",0.115528
"A24A25",0.115568
"A3U000",0.115664
"BMK03T",0.115873233062131
"BMK03L",0.115885188431201
"E08007",0.116018
"A22A05",0.116188
"BMK03P",0.116259089932803
"WWW007",0.116527
"A24A1U",0.117041
"A3D008",0.117802
"A03A09",0.118282
"A3S006",0.118385
"A24A1X",0.118808
"WWW02Q",0.118945
"P0104D",0.119314
"A14A01",0.119408
"A24A2A",0.120693
"BMK03O",0.120955035753242
"WWW01Z",0.121102
"A09A0M",0.12123
"WWW01R",0.12145
"A24A1N",0.122678
"A17A00",0.12309
"E11001",0.123393
"A17A08",0.123476
"A3Q003",0.123625
"A02123",0.123704
"BMK03X",0.12403
"A09A13",0.124769
"A03A01",0.127868
"A09A0N",0.128372
"A5N000",0.128384
"A10A02",0.128723
"A3P00D",0.128778
"A3E004",0.129047
"A17A0J",0.12935
"E08009",0.130297
"A3Y002",0.130376
"BMK03M",0.130791828014421
"A02126",0.132489
"A3E001",0.132928
"A24A26",0.133089
"E14000",0.133744
"E18001",0.133935
"A14A03",0.138002
"E08003",0.139463
"BMK03J",0.141136
"A24A1W",0.14165
"A17A0L",0.141661
"BMK03N",0.141799254111776
"A37004",0.142251610715497
"APQ001",0.143179
"BMK03S",0.143579222787144
"A09A0Z",0.143843
"A3S001",0.144133
"A12A01",0.144372
"A09A0T",0.14696
"A19A01",0.146964
"A24A2H",0.148159
"A02014",0.148769
"E14001",0.149462
"A3T005",0.149737
"A17A02",0.150992
"BMK03W",0.15127
"WWW02D",0.151405
"A3T002",0.15149
