"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A06A0D",0.00137176268861454,1e-05,0.095791,0.0054163051294604,2.9336361255419e-05,729,0.000144
"A06A0F",0.00151289863842663,1.2e-05,0.080924,0.00572215155500955,3.27430184184982e-05,661,0.000143
"A06A0H",0.00157241981132075,1.2e-05,0.083294,0.00580368339256362,3.36827409211187e-05,636,0.000184
"A06A0J",0.00148372997032641,1.1e-05,0.07468,0.00499425407776237,2.4942573793246e-05,674,0.000131
"A06A0L",0.00131404599211564,7e-06,0.077584,0.00476301407135592,2.26863030439345e-05,761,0.000195
"A06A0N",0.00178577857142857,1.6e-05,0.066387,0.00550929709235,3.03523544517761e-05,560,0.000239
"A06A0P",0.00179851258992806,1.2e-05,0.074324,0.00595893602464293,3.55089185457872e-05,556,0.000185
"A06A0R",0.00148590490341753,8e-06,0.059395,0.00534278490197765,2.85453505088004e-05,673,0.000173
"A06A0T",0.00166672833333333,1.6e-05,0.113348,0.0064898862460762,4.21186234870091e-05,600,0.000218
"A06A0V",0.00143260888252149,9e-06,0.081861,0.00495791780417717,2.4580948952977e-05,698,0.000136
"A06A1I",0.00136982328767123,1e-05,0.049993,0.00433461969482573,1.87889278987711e-05,730,0.000136
"A06A1K",0.00151981458966565,1.3e-05,0.071816,0.00487376390376261,2.37535745896194e-05,658,0.00018
"A06A1M",0.0013440873655914,9e-06,0.057078,0.0043778224734195,1.91653296087768e-05,744,0.000168
"A06A1Q",0.00141040056417489,1e-05,0.051508,0.00437078493678372,1.91037609636155e-05,709,0.000171
"A06A24",0.00169207106598985,1.1e-05,0.069334,0.00570412141618096,3.25370011305343e-05,591,0.000186
"A06A26",0.00155769314641745,9e-06,0.042763,0.00477715635957764,2.28212228838531e-05,642,0.000161
"A07A01",0.0016260325203252,1.7e-05,0.051673,0.00475701986633572,2.26292380087127e-05,615,0.000189
"A07A03",0.00145990364963504,1.1e-05,0.054048,0.00450670817185433,2.03104185462586e-05,685,0.000174
"A07A05",0.00133159387483356,1.3e-05,0.050719,0.00443499290689126,1.96691620841757e-05,751,0.000114
"A07A07",0.00156729623824451,1e-05,0.049633,0.00453080012357959,2.05281497598288e-05,638,0.000199
